3505827319,,,,,,,,,,,,,,,
LiCl,Li,Cl,Lithium Chloride,42.39,2.068,salt,7,100,605,1382,0.85,255 255 255 0,1.132,779,96.2
LiBr,Li,Br,Lithium Bromide,86.845,3.464,salt,7,100,550,1300,1.66,255 255 255 0,1.132,779,96.2
LiI,Li,I,Lithium Iodide,133.85,4.076,salt,7,100,469,1171,1.67,255 255 255 0,1.132,779,96.2
NaCl,Na,Cl,Sodium Chloride,58.443,2.17,salt,7,100,800.7,1465,0.36,255 255 255 0,1.132,779,96.2
NaBr,Na,Br,Sodium Bromide,102.894,3.21,salt,7,100,747,1390,0.93,255 255 255 0,1.132,779,96.2
NaI,Na,I,Sodium Iodide,149.894,3.67,salt,7,100,661,1304,1.84,255 255 255 0,1.132,779,96.2
NaOH,Na,OH,Sodium Hydroxide,39.9971,2.13,strong base,15.7,200,323,1388,1,255 255 255 0,1.487,779,96.2
Na2SO4,Na 2,SO4,Sodium Sulfate,142.04,2.664,salt,7,100,884,1429,0.28,255 255 255 0,1.132,779,96.2
Na3PO4,Na 3,PO4,Trisodium Phosphate,163.939,2.536,salt,7,100,1583,9999999,0.145,255 255 255 0,1.132,779,96.2
CaCl2,Ca,Cl 2,Calcium Chloride,110.98,2.15,salt,7,100,772,1935,0.745,255 255 255 0,1.132,779,96.2
CaSO4,Ca,SO4,Calcium Sulfate,136.14,2.96,salt,7,100,1460,9999999,0.0026,255 249 226 0,1.132,779,96.2
Ca3(PO4)2,Ca 3,PO4 2,Tricalcium Phosphate,310.18,3.14,salt,7,100,1670,9999999,0.0000012,255 255 255 0,1.132,779,96.2
Ca(OH)2,Ca,OH 2,Calcium Hydroxide,74.093,2.211,base,12.1,100,580,9999999,0.0017,255 250 240 0,1.487,779,96.2
HOH,H,OH,Water,18.015,1,solvent,7,50,0,100,0,255 255 255 0,4.184,2257,334
H2SO4,H 2,SO4,Sulfuric acid,98.079,1.8302,strong acid,-2.8,200,10.31,337,9999999,255 254 235 0,1.34,779,96.2
H3PO4,H 3,PO4,Phosphoric acid,97.994,1.6845,acid,2.14,150,41,212,5.5,255 255 255 0,1.34,779,96.2
HCl,H,Cl,Hydrogen Chloride,36.46,1.49,strong acid,-1,200,-114.22,85.05,0.71,251 255 230 0,0.7981,779,96.2
